human_symbol,human_ensembl_id,mouse_symbol,mouse_ensembl_id,category,sources,evidence_score
ABCA7,ENSG00000064687,Abca7,ENSMUSG00000035722,Pro-apoptotic,GO_Pro_Human,1
ABL1,ENSG00000097007,Abl1,ENSMUSG00000026842,Pro-apoptotic,GO_Pro_Human,1
ABR,ENSG00000278741,Abr,ENSMUSG00000017631,Pro-apoptotic,GO_Pro_Human,1
ACER2,ENSG00000177076,Acer2,ENSMUSG00000038007,Pro-apoptotic,GO_Pro_Human,1
ACVR1C,ENSG00000123612,Acvr1c,ENSMUSG00000026834,Pro-apoptotic,GO_Pro_Human,1
ADAMTSL4,ENSG00000143382,Adamtsl4,ENSMUSG00000015850,Pro-apoptotic,GO_Pro_Human,1
ADIPOQ,ENSG00000181092,Adipoq,ENSMUSG00000022878,Pro-apoptotic,GO_Pro_Human,1
AGT,ENSG00000135744,Agt,ENSMUSG00000031980,Pro-apoptotic,GO_Pro_Human,1
AGTR2,ENSG00000180772,Agtr2,ENSMUSG00000068122,Pro-apoptotic,GO_Pro_Human,1
AIFM1,ENSG00000156709,Aifm1,ENSMUSG00000036932,Pro-apoptotic,"GO_Pro_Human,KEGG",2
AIFM2,ENSG00000042286,Aifm2,ENSMUSG00000020085,Pro-apoptotic,GO_Pro_Human,1
AKAP13,ENSG00000170776,Akap13,ENSMUSG00000066406,Pro-apoptotic,GO_Pro_Human,1
AKR1C3,ENSG00000196139,Akr1c18,ENSMUSG00000021214,Pro-apoptotic,GO_Pro_Human,1
ANKRD1,ENSG00000148677,Ankrd1,ENSMUSG00000024803,Pro-apoptotic,GO_Pro_Human,1
ANO6,ENSG00000177119,Ano6,ENSMUSG00000064210,Pro-apoptotic,GO_Pro_Human,1
ANP32B,ENSG00000136938,,,Pro-apoptotic,GO_Pro_Human,1
APAF1,ENSG00000120868,Apaf1,ENSMUSG00000019979,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
APBB1,ENSG00000166313,Apbb1,ENSMUSG00000037032,Pro-apoptotic,GO_Pro_Human,1
APC,ENSG00000134982,Apc,ENSMUSG00000005871,Pro-apoptotic,GO_Pro_Human,1
APH1A,ENSG00000117362,Aph1a,ENSMUSG00000015750,Pro-apoptotic,GO_Pro_Human,1
