human_symbol,human_ensembl_id,mouse_symbol,mouse_ensembl_id,category,sources,evidence_score
APAF1,ENSG00000120868,Apaf1,ENSMUSG00000019979,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
BAD,ENSG00000002330,Bad,ENSMUSG00000024959,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
BAK1,ENSG00000030110,Bak1,ENSMUSG00000057789,Pro-apoptotic,"GO_Pro_Human,Reactome",2
BAX,ENSG00000087088,Bax,ENSMUSG00000003873,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
BBC3,ENSG00000105327,Bbc3,ENSMUSG00000002083,Pro-apoptotic,"GO_Pro_Human,Reactome",2
BCAP31,ENSG00000185825,Bcap31,ENSMUSG00000002015,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BCL2L11,ENSG00000153094,Bcl2l11,ENSMUSG00000027381,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BMF,ENSG00000104081,Bmf,ENSMUSG00000040093,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
C1QBP,ENSG00000108561,C1qbp,ENSMUSG00000018446,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CARD8,ENSG00000105483,,,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CASP9,ENSG00000132906,Casp9,ENSMUSG00000028914,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
CDK5,ENSG00000164885,Cdk5,ENSMUSG00000028969,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CDK5R1,ENSG00000176749,Cdk5r1,ENSMUSG00000048895,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CDKN2A,ENSG00000147889,Cdkn2a,ENSMUSG00000044303,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CYCS,ENSG00000172115,Cycs,ENSMUSG00000063694,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
CYLD,ENSG00000083799,Cyld,ENSMUSG00000036712,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
DAPK1,ENSG00000196730,Dapk1,ENSMUSG00000021559,Pro-apoptotic,"GO_Pro_Human,Reactome",2
DAPK2,ENSG00000035664,Dapk2,ENSMUSG00000032380,Pro-apoptotic,"GO_Pro_Human,Reactome",2
DAPK3,ENSG00000167657,Dapk3,ENSMUSG00000034974,Pro-apoptotic,"GO_Pro_Human,Reactome",2
DIABLO,ENSG00000184047,Diablo,ENSMUSG00000029433,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
DNM1L,ENSG00000087470,Dnm1l,ENSMUSG00000022789,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
E2F1,ENSG00000101412,E2f1,ENSMUSG00000027490,Pro-apoptotic,"GO_Pro_Human,Reactome",2
FOXO3,ENSG00000118689,Foxo3,ENSMUSG00000048756,Pro-apoptotic,"GO_Pro_Human,Reactome",2
GSDME,ENSG00000105928,Gsdme,ENSMUSG00000029821,Pro-apoptotic,"GO_Pro_Human,Reactome",2
GSK3A,ENSG00000105723,Gsk3a,ENSMUSG00000057177,Pro-apoptotic,"GO_Pro_Human,Reactome",2
GSN,ENSG00000148180,Gsn,ENSMUSG00000026879,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
GZMB,ENSG00000100453,,,Pro-apoptotic,"GO_Pro_Human,Reactome",2
HMGB1,ENSG00000189403,,,Pro-apoptotic,"GO_Pro_Human,Reactome",2
JUN,ENSG00000177606,Jun,ENSMUSG00000052684,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
MAPT,ENSG00000276155,Mapt,ENSMUSG00000018411,Pro-apoptotic,"GO_Pro_Human,Reactome",2
NMT1,ENSG00000136448,Nmt1,ENSMUSG00000020936,Pro-apoptotic,"GO_Pro_Human,Reactome",2
OMA1,ENSG00000162600,Oma1,ENSMUSG00000035069,Pro-apoptotic,"GO_Pro_Human,Reactome",2
PMAIP1,ENSG00000141682,,,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
PPP1R13B,ENSG00000088808,Ppp1r13b,ENSMUSG00000021285,Pro-apoptotic,"GO_Pro_Human,Reactome",2
PPP3CC,ENSG00000120910,Ppp3cc,ENSMUSG00000022092,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
PPP3R1,ENSG00000221823,Ppp3r1,ENSMUSG00000033953,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
SEPTIN4,ENSG00000108387,Septin4,ENSMUSG00000020486,Pro-apoptotic,"GO_Pro_Human,Reactome",2
TFDP1,ENSG00000198176,Tfdp1,ENSMUSG00000038482,Pro-apoptotic,"GO_Pro_Human,Reactome",2
TFDP2,ENSG00000114126,Tfdp2,ENSMUSG00000032411,Pro-apoptotic,"GO_Pro_Human,Reactome",2
TP53BP2,ENSG00000143514,Trp53bp2,ENSMUSG00000026510,Pro-apoptotic,"GO_Pro_Human,Reactome",2
TP63,ENSG00000073282,Trp63,ENSMUSG00000022510,Pro-apoptotic,"GO_Pro_Human,Reactome",2
TP73,ENSG00000078900,Trp73,ENSMUSG00000029026,Pro-apoptotic,"GO_Pro_Human,Reactome",2
UACA,ENSG00000137831,Uaca,ENSMUSG00000034485,Pro-apoptotic,"GO_Pro_Human,Reactome",2
YWHAB,ENSG00000166913,Ywhab,ENSMUSG00000018326,Pro-apoptotic,"GO_Pro_Human,Reactome",2
YWHAG,ENSG00000170027,Ywhag,ENSMUSG00000051391,Pro-apoptotic,"GO_Pro_Human,Reactome",2
