human_symbol,human_ensembl_id,mouse_symbol,mouse_ensembl_id,category,sources,evidence_score
ATF3,ENSG00000162772,Atf3,ENSMUSG00000026628,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
BAX,ENSG00000087088,Bax,ENSMUSG00000003873,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
BCAP31,ENSG00000185825,Bcap31,ENSMUSG00000002015,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BCL2L11,ENSG00000153094,Bcl2l11,ENSMUSG00000027381,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BMF,ENSG00000104081,Bmf,ENSMUSG00000040093,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BMP2,ENSG00000125845,Bmp2,ENSMUSG00000027358,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
CASP1,ENSG00000137752,Casp1,ENSMUSG00000025888,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
CASP4,ENSG00000196954,Casp4,ENSMUSG00000033538,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
CASP9,ENSG00000132906,Casp9,ENSMUSG00000028914,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
CYLD,ENSG00000083799,Cyld,ENSMUSG00000036712,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
DAP,ENSG00000112977,Dap,ENSMUSG00000039168,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
DDIT3,ENSG00000175197,Ddit3,ENSMUSG00000025408,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
DIABLO,ENSG00000184047,Diablo,ENSMUSG00000029433,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
DNM1L,ENSG00000087470,Dnm1l,ENSMUSG00000022789,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
GADD45A,ENSG00000116717,Gadd45a,ENSMUSG00000036390,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
GADD45B,ENSG00000099860,Gadd45b,ENSMUSG00000015312,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
GSN,ENSG00000148180,Gsn,ENSMUSG00000026879,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
IFNB1,ENSG00000171855,Ifnb1,ENSMUSG00000048806,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
JUN,ENSG00000177606,Jun,ENSMUSG00000052684,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
PDCD4,ENSG00000150593,Pdcd4,ENSMUSG00000024975,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
PMAIP1,ENSG00000141682,,,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
PPP3R1,ENSG00000221823,Ppp3r1,ENSMUSG00000033953,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
RHOB,ENSG00000143878,Rhob,ENSMUSG00000054364,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
RHOT2,ENSG00000140983,Rhot2,ENSMUSG00000025733,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
TGFB2,ENSG00000092969,Tgfb2,ENSMUSG00000039239,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
TIMP3,ENSG00000100234,Timp3,ENSMUSG00000020044,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
TNFRSF12A,ENSG00000006327,Tnfrsf12a,ENSMUSG00000023905,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
TOP2A,ENSG00000131747,Top2a,ENSMUSG00000020914,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
VDAC2,ENSG00000165637,Vdac2,ENSMUSG00000021771,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
BCL2L2,ENSG00000129473,Bcl2l2,ENSMUSG00000089682,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
BIRC3,ENSG00000023445,Birc3,ENSMUSG00000032000,Anti-apoptotic,"GO_Anti_Human,Hallmark,KEGG",3
BRCA1,ENSG00000012048,Brca1,ENSMUSG00000017146,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
CCND2,ENSG00000118971,Ccnd2,ENSMUSG00000000184,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
CD38,ENSG00000004468,Cd38,ENSMUSG00000029084,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
CD44,ENSG00000026508,Cd44,ENSMUSG00000005087,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
DFFA,ENSG00000160049,Dffa,ENSMUSG00000028974,Anti-apoptotic,"GO_Anti_Human,Hallmark,KEGG,Reactome",4
DNAJC3,ENSG00000102580,Dnajc3,ENSMUSG00000022136,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
EGR3,ENSG00000179388,Egr3,ENSMUSG00000033730,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
ERBB3,ENSG00000065361,Erbb3,ENSMUSG00000018166,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
GPX1,ENSG00000233276,Gpx1,ENSMUSG00000063856,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
HGF,ENSG00000019991,Hgf,ENSMUSG00000028864,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
HMOX1,ENSG00000100292,Hmox1,ENSMUSG00000005413,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
HSPB1,ENSG00000106211,Hspb1,ENSMUSG00000004951,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
IL1A,ENSG00000115008,Il1a,ENSMUSG00000027399,Anti-apoptotic,"GO_Anti_Human,Hallmark,KEGG",3
IL1B,ENSG00000125538,Il1b,ENSMUSG00000027398,Anti-apoptotic,"GO_Anti_Human,Hallmark,KEGG",3
KRT18,ENSG00000111057,Krt18,ENSMUSG00000023043,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
LEF1,ENSG00000138795,Lef1,ENSMUSG00000027985,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
LGALS3,ENSG00000131981,Lgals3,ENSMUSG00000050335,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
MGMT,ENSG00000170430,Mgmt,ENSMUSG00000054612,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
PEA15,ENSG00000162734,Pea15a,ENSMUSG00000013698,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
PPT1,ENSG00000131238,Ppt1,ENSMUSG00000028657,Anti-apoptotic,"GO_Anti_Human,Hallmark",2
PTK2,ENSG00000169398,Ptk2,ENSMUSG00000022607,Anti-apoptotic,"GO_Anti_Human,Hallmark,Reactome",3
